strategy_0,strategy_1,strategy_2,strategy_3,poaching_regret,logging_regret,eq_str
0.25,0.25,0.25,0.25,0.034269187599421436,0.02349801763892101,"[0.25, 0.25, 0.25, 0.25]"
1.0,0.0,0.0,0.0,0.052922583222390074,0.04523815453052471,"[1.0, 0.0, 0.0, 0.0]"
0.75,0.25,0.0,0.0,0.045938072204590785,0.03392861589789353,"[0.75, 0.25, 0.0, 0.0]"
0.75,0.0,0.25,0.0,0.045155502408743775,0.03620438635349199,"[0.75, 0.0, 0.25, 0.0]"
0.75,0.0,0.0,0.25,0.04902077943086702,0.043841324448584906,"[0.75, 0.0, 0.0, 0.25]"
0.0,1.0,0.0,0.0,0.02498453915119292,-0.0,"[0.0, 1.0, 0.0, 0.0]"
0.25,0.75,0.0,0.0,0.048852276355027424,0.011309538632631178,"[0.25, 0.75, 0.0, 0.0]"
0.0,0.75,0.25,0.0,0.02420196935534591,0.002275770455598458,"[0.0, 0.75, 0.25, 0.0]"
0.0,0.75,0.0,0.25,0.028067246377469157,0.009912708550691374,"[0.0, 0.75, 0.0, 0.25]"
0.0,0.0,1.0,0.0,0.02185425996780488,0.009103081822393833,"[0.0, 0.0, 1.0, 0.0]"
0.25,0.0,0.75,0.0,0.029621340781451178,0.018136849999426552,"[0.25, 0.0, 0.75, 0.0]"
0.0,0.25,0.75,0.0,0.029957456439733132,0.006827311366795374,"[0.0, 0.25, 0.75, 0.0]"
0.0,0.0,0.75,0.25,0.025719536989928127,0.016740019917486748,"[0.0, 0.0, 0.75, 0.25]"
0.0,0.0,0.0,1.0,0.03731536805629787,0.039650834202765495,"[0.0, 0.0, 0.0, 1.0]"
0.25,0.0,0.0,0.75,0.04121717184782092,0.0410476642847053,"[0.25, 0.0, 0.0, 0.75]"
0.0,0.25,0.0,0.75,0.03163947597145933,0.02973812565207412,"[0.0, 0.25, 0.0, 0.75]"
0.0,0.0,0.25,0.75,0.03345009103417462,0.03201389610767258,"[0.0, 0.0, 0.25, 0.75]"
0.20967815939203163,0.7903218406079684,0.0,0.0,0.04737137996529257,0.009485452976252718,"[0.21, 0.79, 0.0, 0.0]"
0.0,0.0,0.5277330488406917,0.4722669511593082,0.02915603034630198,0.02352977570384146,"[0.0, 0.0, 0.53, 0.47]"
